序,时间,区,目的港,国家,中文,代,船,20G,E1,40G,E2,40H,E3,AE,20'GP(标准报价),40'GP(标准报价),40'HQ(标准报价),EBS,AE1,船期,港,中转港,中转,航程,起,止,内部备注,限重,快捷报价,,,
11,71817,东,MOMBASA ,Kenya,"蒙巴萨,肯尼亚",D,SAF,875,60,1550,120,1550,120,,900,1600,1600,60/120,,周四,洋山,SIN,新加坡,23,7-20,7-31,AE20/FW3,,Mombasa SAF USD875/1550 + EBS60/120，周四洋山新加坡转23天，价格到7月31日已过期，紧供参考。,,,
12,71817,东,DAR ES SALAAM,Tanzania,"达累斯萨拉姆,坦桑尼亚",M,CMA,875,55,1550,110,1550,110,,900,1600,1600,55/110,,周四/周日,外港/洋山,TPP/SIN,丹戎帕拉帕斯港/新加坡,25,7-15,7-31,WAX/FAL1 14days(domestic)21days (transit cargo),,Dar Es Salaam CMA USD875/1550 + EBS55/110，周四/周日外港/洋山丹戎帕拉帕斯港/新加坡转25天，价格到7月31日已过期，紧供参考。,,,
13,71817,东,DAR ES SALAAM,Tanzania,"达累斯萨拉姆,坦桑尼亚",E,COSCO,950,60,1650,120,1650,120,,950,1650,1650,60/120,,周三/周四/周六,外港,DIR/SIN/SIN,直达/新加坡/新加坡,25/31/38,7-15,7-31,周三直达 周四/周六新加坡转,20'GP≧18T以上单票确认,Dar Es Salaam COSCO USD950/1650 + EBS60/120，周三/周四/周六外港直达/新加坡/新加坡25/31/38天，价格到7月31日已过期，紧供参考。,,,
14,71817,东,DAR ES SALAAM,Tanzania,"达累斯萨拉姆,坦桑尼亚",C,EMC,950,,1700,,1700,,,1000,1800,1800,,,周四,外港,PKG,巴生,35,7-15,7-31,AEF,,Dar Es Salaam EMC USD950/1700，周四外港巴生转35天，价格到7月31日已过期，紧供参考。,,,
15,71817,东,DAR ES SALAAM,Tanzania,"达累斯萨拉姆,坦桑尼亚",F,EMI,967,,1517,,1517,,,992,1567,1567,,,周四,外港,PKG,巴生,32,7-14,7-31,,,Dar Es Salaam EMI USD967/1517，周四外港巴生转32天，价格到7月31日已过期，紧供参考。,,,
16,71817,东,DAR ES SALAAM,Tanzania,"达累斯萨拉姆,坦桑尼亚",B,MSC,975,,1400,,1400,,,1000,1450,1450,,,周五,洋山,DURBAN,德班,37,7-15,7-31,另加ENS USD25/BILL,,Dar Es Salaam MSC USD975/1400，周五洋山德班转37天，价格到7月31日已过期，紧供参考。,,,
17,71817,东,DAR ES SALAAM,Tanzania,"达累斯萨拉姆,坦桑尼亚",A,MSK,900,60,1600,120,1600,120,,925,1650,1650,60/120,,周五,洋山,SIN,新加坡,26-32,7-20,7-31,,,Dar Es Salaam MSK USD900/1600 + EBS60/120，周五洋山新加坡转26-32天，价格到7月31日已过期，紧供参考。,,,
18,71817,东,DAR ES SALAAM,Tanzania,"达累斯萨拉姆,坦桑尼亚",D,SAF,875,60,1550,120,1550,120,,900,1600,1600,60/120,,周四,洋山,SIN,新加坡,26-32,7-20,7-31,AE20/FW3,,Dar Es Salaam SAF USD875/1550 + EBS60/120，周四洋山新加坡转26-32天，价格到7月31日已过期，紧供参考。,,,
19,71817,东,DAR ES SALAAM,Tanzania,"达累斯萨拉姆,坦桑尼亚",P,OOCL,1025,55,1700,110,1700,110,,1050,1750,1750,55/110,,周二,外港,COLOMBO,科隆坡,28,7-01,7-31,,"小箱≥21TONS+超重费100
",Dar Es Salaam OOCL USD1025/1700 + EBS55/110，周二外港科隆坡转28天，价格到7月31日已过期，紧供参考。,,,
20,71817,东,DAR ES SALAAM,Tanzania,"达累斯萨拉姆,坦桑尼亚",N,HPL,975,55,1350,110,1350,110,,975,1350,1350,55/110,,周一,洋山,JEDDAH, 捷达,37,7-15,7-31,,,Dar Es Salaam HPL USD975/1350 + EBS55/110，周一洋山捷达转37天，价格到7月31日已过期，紧供参考。,,,
21,71817,东,DAR ES SALAAM,Tanzania,"达累斯萨拉姆,坦桑尼亚",K,PIL,925,,1700,,1700,,,1250,2200,2200,,,周三,外港,DIR,直达,25,7-11,7-31,,,Dar Es Salaam PIL USD925/1700，周三外港直达25天，价格到7月31日已过期，紧供参考。,,,
22,71817,东,ZANZIBAR,Tanzania,"桑给巴尔,坦桑尼亚",M,CMA,1738,55,3163,110,3163,110,,1763,3213,3213,55/110,,周四/周日,外港/洋山,TPP/SIN,丹戎帕拉帕斯港/新加坡,33,7-07,7-31,WAX/FAL1 14天免用箱,,Zanzibar CMA USD1738/3163 + EBS55/110，周四/周日外港/洋山丹戎帕拉帕斯港/新加坡转33天，价格到7月31日已过期，紧供参考。,,,
23,71817,东,ZANZIBAR,Tanzania,"桑给巴尔,坦桑尼亚",F,EMI,电询,,电询,,电询,,,电询,电询,电询,,,周三,外港,PKG,巴生,36,7-14,7-31,,,Zanzibar EMI USD电询/电询，周三外港巴生转36天，价格到7月31日已过期，紧供参考。,,,
24,71817,东,ZANZIBAR,Tanzania,"桑给巴尔,坦桑尼亚",B,MSC,1575,,2550,,2550,,,1600,2600,2600,,,周五,洋山,OMSLL,色拉拉,38,7-15,7-31,,,Zanzibar MSC USD1575/2550，周五洋山色拉拉转38天，价格到7月31日已过期，紧供参考。,,,
25,71817,东,ZANZIBAR,Tanzania,"桑给巴尔,坦桑尼亚",K,PIL,1850,,3200,,3200,,,1950,3400,3400,,,周三,外港,MBA,蒙巴萨,30,6-25,7-31,,,Zanzibar PIL USD1850/3200，周三外港蒙巴萨转30天，价格到7月31日已过期，紧供参考。,,,
26,71817,东,ZANZIBAR,Tanzania,"桑给巴尔,坦桑尼亚",O,BLINE,1600,50,2850,100,2850,100,,1600,2850,2850,50/100,,周三,外港,JEA,迪拜,34,7-02,7-31,箱东单,小箱超过18T含箱重 OWS USD200,Zanzibar BLINE USD1600/2850 + EBS50/100，周三外港迪拜转34天，价格到7月31日已过期，紧供参考。,,,
27,71817,东,ZANZIBAR,Tanzania,"桑给巴尔,坦桑尼亚",A,MSK,1600,60,2900,120,2900,120,,1625,2950,2950,60/120,,周五,洋山,MOMBASA,蒙巴萨,37,7-20,7-31,,,Zanzibar MSK USD1600/2900 + EBS60/120，周五洋山蒙巴萨转37天，价格到7月31日已过期，紧供参考。,,,
28,71817,东,ZANZIBAR,Tanzania,"桑给巴尔,坦桑尼亚",D,SAF,1575,60,2850,120,2850,120,,1600,2900,2900,60/120,,周四,洋山,MOMBASA,蒙巴萨,37,7-20,7-31,AE1/AE5/AE10,,Zanzibar SAF USD1575/2850 + EBS60/120，周四洋山蒙巴萨转37天，价格到7月31日已过期，紧供参考。,,,
29,71817,东,TANGA,Tanzania,"坦噶,坦桑尼亚",B,MSC,1575,,2550,,2550,,,1600,2600,2600,,,周五,洋山,OMSLL,色拉拉,39,7-15,7-31,,,Tanga MSC USD1575/2550，周五洋山色拉拉转39天，价格到7月31日已过期，紧供参考。,,,
30,71817,东,TANGA,Tanzania,"坦噶,坦桑尼亚",M,CMA,1883,55,2713,110,2713,110,,1850,2650,2650,55/110,,周四/周日,外港/洋山,TPP/SIN,丹戎帕拉帕斯港/新加坡,31,7-15,7-31,WAX/FAL1 14天免用箱,,Tanga CMA USD1883/2713 + EBS55/110，周四/周日外港/洋山丹戎帕拉帕斯港/新加坡转31天，价格到7月31日已过期，紧供参考。,,,
31,71817,东,TANGA,Tanzania,"坦噶,坦桑尼亚",A,MSK,2100,60,1600,120,1600,120,,2125,1650,1650,60/120,,周五,洋山,DAR ES SALAAM,达累,35,7-20,7-31,,,Tanga MSK USD2100/1600 + EBS60/120，周五洋山达累转35天，价格到7月31日已过期，紧供参考。,,,
32,71817,东,TANGA,Tanzania,"坦噶,坦桑尼亚",D,SAF,2075,60,1550,120,1550,120,,2100,1600,1600,60/120,,周四,洋山,DAR ES SALAAM,达累,35,7-20,7-31,AE1/AE5/AE10,,Tanga SAF USD2075/1550 + EBS60/120，周四洋山达累转35天，价格到7月31日已过期，紧供参考。,,,
33,71817,东,DJIBOUTI,Djibouti,"吉布提,吉布提",A,MSK,1000,60,1700,120,1700,120,,1025,1750,1750,60/120,,周天,洋山,TPP,丹戎帕拉帕斯港,28,7-20,7-31,,,Djibouti MSK USD1000/1700 + EBS60/120，周天洋山丹戎帕拉帕斯港转28天，价格到7月31日已过期，紧供参考。,,,
34,71817,东,DJIBOUTI,Djibouti,"吉布提,吉布提",D,SAF,975,60,1650,120,1650,120,,1000,1700,1700,60/120,,周二,洋山,TPP,丹戎帕拉帕斯港,28,7-20,7-31,AE1/AE5/AE6,,Djibouti SAF USD975/1650 + EBS60/120，周二洋山丹戎帕拉帕斯港转28天，价格到7月31日已过期，紧供参考。,,,
35,71817,东,PORT SUDAN（欧元）,Sudan,"苏丹港,苏丹",A,MSK,1013,60,1713,120,1713,120,,1038,1763,1763,60/120,,周天,洋山,TPP,丹戎帕拉帕斯港,33,7-20,7-31,货币是欧元,,Port Sudan（欧元） MSK USD1013/1713 + EBS60/120，周天洋山丹戎帕拉帕斯港转33天，价格到7月31日已过期，紧供参考。,,,
36,71817,东,PORT SUDAN（欧元）,Sudan,"苏丹港,苏丹",D,SAF,1150,60,1890,120,1890,120,,1175,1940,1940,60/120,,周二,洋山,TPP,丹戎帕拉帕斯港,33,7-20,7-31,AE1/AE5/AE6 EUR 958/1563,,Port Sudan（欧元） SAF USD1150/1890 + EBS60/120，周二洋山丹戎帕拉帕斯港转33天，价格到7月31日已过期，紧供参考。,,,
37,71817,东,MOGADISHU,Somalia,"摩加迪沙,索马里",M,CMA,1788,55,3563,110,3563,110,,1813,3613,3613,55/110,,周四/周日,外港/洋山,TPP/SIN,丹戎帕拉帕斯港/新加坡,33,7-15,7-31,WAX/FAL1 10天免用箱,,Mogadishu CMA USD1788/3563 + EBS55/110，周四/周日外港/洋山丹戎帕拉帕斯港/新加坡转33天，价格到7月31日已过期，紧供参考。,,,
38,71817,东,MOGADISHU,Somalia,"摩加迪沙,索马里",O,BLINE,1875,50,3325,100,3325,100,,1875,3325,3325,50/100,,周三,外港,JEA,迪拜,35,7-02,7-31,箱东单,小箱超过18T含箱重 OWS USD200,Mogadishu BLINE USD1875/3325 + EBS50/100，周三外港迪拜转35天，价格到7月31日已过期，紧供参考。,,,
39,71817,东,MOGADISHU,Somalia,"摩加迪沙,索马里",B,MSC,1775,,2750,,2750,,,1800,2800,2800,,,周五,洋山,JEA,迪拜,40,7-15,7-31,,20'GP ≧18T+USD200,Mogadishu MSC USD1775/2750，周五洋山迪拜转40天，价格到7月31日已过期，紧供参考。,,,
40,71817,东,KISMAYU,Somalia,"基斯马尤,索马里",B,MSC,1575,,3150,,3150,,,1600,3200,3200,,,周五,洋山,JEA,迪拜,40,7-15,7-31,,20'GP ≧18T+USD200,Kismayu MSC USD1575/3150，周五洋山迪拜转40天，价格到7月31日已过期，紧供参考。,,,
41,71817,东,BERBERA,Somalia,"柏培拉,索马里",A,MSK,900,60,1600,120,1600,120,,925,1650,1650,60/120,,周天,洋山,SLL,色拉拉,31,7-20,7-31,,,Berbera MSK USD900/1600 + EBS60/120，周天洋山色拉拉转31天，价格到7月31日已过期，紧供参考。,,,
42,71817,东,BERBERA,Somalia,"柏培拉,索马里",D,SAF,875,60,1550,120,1550,120,,900,1600,1600,60/120,,周日,洋山,SLL,色拉拉,31,7-20,7-31,TP12-TP8,,Berbera SAF USD875/1550 + EBS60/120，周日洋山色拉拉转31天，价格到7月31日已过期，紧供参考。,,,
43,71817,东,BERBERA,Somalia,"柏培拉,索马里",B,MSC,1575,,3150,,3150,,,1600,3200,3200,,,周五,洋山,JEA,迪拜,40,7-15,7-31,,20'GP ≧18T+USD200,Berbera MSC USD1575/3150，周五洋山迪拜转40天，价格到7月31日已过期，紧供参考。,,,
44,71817,东,BERBERA,Somalia,"柏培拉,索马里",O,BLINE,1875,50,3325,100,3325,100,,1875,3325,3325,50/100,,周三,外港,JEA,迪拜,35,7-02,7-31,箱东单,小箱超过18T含箱重 OWS USD200,Berbera BLINE USD1875/3325 + EBS50/100，周三外港迪拜转35天，价格到7月31日已过期，紧供参考。,,,
45,71817,东,PEMBA,Mozambique,"彭巴,莫桑比克",K,PIL,2710,,5410,,5410,,,2760,5510,5510,,,周三,外港,KEMOM,蒙巴萨,42,6-15,7-31,,,Pemba PIL USD2710/5410，周三外港蒙巴萨转42天，价格到7月31日已过期，紧供参考。,,,
46,71817,东,PEMBA,Mozambique,"彭巴,莫桑比克",O,BLINE,2200,50,4400,100,4400,100,,2200,4400,4400,50/100,,周三,外港,JEA,迪拜,45,7-02,7-31,箱东单,小箱超过18T含箱重 OWS USD200,Pemba BLINE USD2200/4400 + EBS50/100，周三外港迪拜转45天，价格到7月31日已过期，紧供参考。,,,
47,71817,东,QUELIMANE,Mozambique,"彭巴,莫桑比克",O,BLINE,2250,50,4500,100,4500,100,,2250,4500,4500,50/100,,周三,外港,Mutsamudu,穆察穆杜,44,7-02,7-31,箱东单,小箱超过18T含箱重 OWS USD200,Quelimane BLINE USD2250/4500 + EBS50/100，周三外港穆察穆杜转44天，价格到7月31日已过期，紧供参考。,,,
48,71817,东,LONGONI,Mayotte,"隆戈尼,马约特",M,CMA,1838,55,3613,110,3613,110,,1913,3763,3763,55/110,,周二,洋山,PDG, 加莱角,35,7-15,7-31,ASAF,"小箱箱货总重<27tons,大高箱箱货总重<18tons",Longoni CMA USD1838/3613 + EBS55/110，周二洋山加莱角转35天，价格到7月31日已过期，紧供参考。,,,
49,71817,东,LONGONI,Mayotte,"隆戈尼,马约特",B,MSC,1525,,3050,,3150,,,1550,3100,3200,,,周五,洋山,MUPLO,路易港,28,7-15,7-31,,20'GP ≧18T+USD200,Longoni MSC USD1525/3050/3150，周五洋山路易港转28天，价格到7月31日已过期，紧供参考。,,,
50,71817,东,MUTSAMUDU,Comorin,"穆察穆杜,科摩罗",M,CMA,2438,55,4863,110,4863,110,,2513,5013,5013,55/110,,周二,洋山,PDG, 加莱角,40,7-15,7-31,ASAF,,Mutsamudu CMA USD2438/4863 + EBS55/110，周二洋山加莱角转40天，价格到7月31日已过期，紧供参考。,,,
51,71817,东,MORONI,Comorin,"莫罗尼,科摩罗",O,BLINE,2050,50,4100,100,4100,100,,2050,4100,4100,50/100,,周三,外港,Mutsamudu,穆察穆杜,43,7-02,7-31,箱东单,小箱超过18T含箱重 OWS USD200,Moroni BLINE USD2050/4100 + EBS50/100，周三外港穆察穆杜转43天，价格到7月31日已过期，紧供参考。,,,
52,71817,东,MORONI,Comorin,"莫罗尼,科摩罗",M,CMA,2538,55,5063,110,5063,110,,2613,5213,5213,55/110,,周二,洋山,PDG, 加莱角,40,7-15,7-31,ASAF,"小箱箱货总重<27tons,大高箱箱货总重<18tons",Moroni CMA USD2538/5063 + EBS55/110，周二洋山加莱角转40天，价格到7月31日已过期，紧供参考。,,,
53,71817,东,MALE,maldives,"马累,马尔代夫",M,CMA,1775,55,2900,110,2900,110,,1800,2950,2950,55/110,,周四/周日,外港/洋山,TPP/SIN,丹戎帕拉帕斯港/新加坡,23,7-15,7-31,WAX/FAL1 14天免用箱,,Male CMA USD1775/2900 + EBS55/110，周四/周日外港/洋山丹戎帕拉帕斯港/新加坡转23天，价格到7月31日已过期，紧供参考。,,,
54,71817,东,MALE,maldives,"马累,马尔代夫",O,BLINE,1425,50,2525,100,2525,100,,1425,2525,2525,50/100,,周三,外港,PKG,巴生,20,7-02,7-31,箱东单,小箱超过18T含箱重 OWS USD200,Male BLINE USD1425/2525 + EBS50/100，周三外港巴生转20天，价格到7月31日已过期，紧供参考。,,,
55,71817,东,BLANTYRE,MALAWI,"布兰太尔,马拉维",O,BLINE,4600,50,5500,100,5500,100,,4600,5500,5500,50/100,,周三,外港,QUELIMANE,克利马内,55,7-02,7-31,箱东单,小箱超过18T含箱重 OWS USD200,Blantyre BLINE USD4600/5500 + EBS50/100，周三外港克利马内转55天，价格到7月31日已过期，紧供参考。,,,
56,71817,东,LILONGWE,MALAWI,"布兰太尔,马拉维",O,BLINE,5050,50,6600,100,6600,100,,5050,6600,6600,50/100,,周三,外港,QUELIMANE,克利马内,60,7-02,7-31,箱东单,小箱超过18T含箱重 OWS USD200,Lilongwe BLINE USD5050/6600 + EBS50/100，周三外港克利马内转60天，价格到7月31日已过期，紧供参考。,,,
57,71817,南,DURBAN,South Africa,"德班,南非",A,MSK,490,60,980,120,980,120,AMS30,515,1030,1030,60/120,,周三,洋山,DIR,直达,26,7-16,7-31,AC3,,Durban MSK USD490/980 + EBS60/120 + AMS30/BILL，周三洋山直达26天，价格到7月31日已过期，紧供参考。,,,
58,71817,南,DURBAN,South Africa,"德班,南非",D,SAF,465,60,930,120,930,120,AMS30,490,980,980,60/120,,周三,洋山,DIR,直达,26,7-01,7-31,SAF1,,Durban SAF USD465/930 + EBS60/120 + AMS30/BILL，周三洋山直达26天，价格到7月31日已过期，紧供参考。,,,
59,71817,南,DURBAN,South Africa,"德班,南非",I,HBS,440,60,850,120,850,120,AMS30,465,900,900,60/120,,周三,洋山,DIR,直达,22,7-23,7-31,另加AMS USD35/BILL,,Durban HBS USD440/850 + EBS60/120 + AMS30/BILL，周三洋山直达22天，价格到7月31日已过期，紧供参考。,,,
60,71817,南,DURBAN,South Africa,"德班,南非",G,ZIM,460,75,910,150,910,150,AMS30,460,910,910,75/150,,周六,洋山,DIR,直达,24,7-27,7-31,OWS USD100/20GP(GS18TON),OWS $100 for weight over 18tons/20'(incl.tare,Durban ZIM USD460/910 + EBS75/150 + AMS30/BILL，周六洋山直达24天，价格到7月31日已过期，紧供参考。,,,
61,71817,南,DURBAN,South Africa,"德班,南非",E,COSCO,440,60,880,120,880,120,AMS30,440,880,880,60/120,,周四/周六,洋山,DIR,直达,24,7-18,7-31,"ZAX1/ZAX3 1、20'GP货重15TONS起需单票运管确认接载。
2、即日起DURBAN重货可以申请WAX1航线带至新加坡中转上WAX5航线。",20'GP 18-23.9T +USD100 ≧24T+USD200,Durban COSCO USD440/880 + EBS60/120 + AMS30/BILL，周四/周六洋山直达24天，价格到7月31日已过期，紧供参考。,,,
62,71817,南,DURBAN,South Africa,"德班,南非",C,EMC,584,,1009,,1009,,AMS30,634,1059,1059,,,周四,洋山,DIR,直达,24,7-25,7-31,"需另加AMS(USD30/BILL),小箱超重费：24TONS以上,+USD100",有超重费,Durban EMC USD584/1009 + AMS30/BILL，周四洋山直达24天，价格到7月31日已过期，紧供参考。,,,
63,71817,南,DURBAN,South Africa,"德班,南非",M,CMA,513,55,963,110,963,110,AMS30,525,1000,1000,55/110,,周三,洋山,DIR,直达,25,7-08,7-31,SHAKA2目的港5天免用箱,,Durban CMA USD513/963 + EBS55/110 + AMS30/BILL，周三洋山直达25天，价格到7月31日已过期，紧供参考。,,,
64,71817,南,DURBAN,South Africa,"德班,南非",H,ONE,490,,965,,965,,AMS30,515,1015,1015,,,周四,洋山,DIR,直达,24,7-16,7-31,AMS (USD35)/票,,Durban ONE USD490/965 + AMS30/BILL，周四洋山直达24天，价格到7月31日已过期，紧供参考。,,,
65,71817,南,DURBAN,South Africa,"德班,南非",B,MSC,650,,1300,,1300,,AMS30,675,1350,1350,,,周五,外港,DIR,直达,27,7-15,7-31,另加ENS USD25/BILL,,Durban MSC USD650/1300 + AMS30/BILL，周五外港直达27天，价格到7月31日已过期，紧供参考。,,,
66,71817,南,DURBAN,South Africa,"德班,南非",N,HPL,550,55,1000,110,1000,110,AMS30,575,1050,1050,55/110,,周四,洋山,DIR,直达,27,7-01,7-31,目的港免用箱默认3天，最多可申请到7天,小箱连皮11吨以内，大高箱连皮22吨以内,Durban HPL USD550/1000 + EBS55/110 + AMS30/BILL，周四洋山直达27天，价格到7月31日已过期，紧供参考。,,,
67,71817,南,DURBAN,South Africa,"德班,南非",K,PIL,513,,1213,,1213,,AMS30,613,1413,1413,,,周四,洋山,DIR,直达,24,7-25,7-31,另加AMS USD30/BILL,,Durban PIL USD513/1213 + AMS30/BILL，周四洋山直达24天，价格到7月31日已过期，紧供参考。,,,
68,71817,南,CAPETOWN,South Africa,"开普敦,南非",A,MSK,390,60,780,120,780,120,AMS30,415,830,830,60/120,,周二,洋山,DIR,直达,28,7-16,7-31,AC3,,Capetown MSK USD390/780 + EBS60/120 + AMS30/BILL，周二洋山直达28天，价格到7月31日已过期，紧供参考。,,,
69,71817,南,CAPETOWN,South Africa,"开普敦,南非",D,SAF,365,60,730,120,730,120,AMS30,390,780,780,60/120,,周二,洋山,DIR,直达,28,7-01,7-31,FW6,,Capetown SAF USD365/730 + EBS60/120 + AMS30/BILL，周二洋山直达28天，价格到7月31日已过期，紧供参考。,,,
70,71817,南,CAPETOWN,South Africa,"开普敦,南非",E,COSCO,390,60,780,120,780,120,AMS30,390,780,780,60/120,,周二,洋山,DIR,直达,27,7-18,7-31,"WAX4 1、20'GP货重15TONS起需单票运管确认接载。
2、即日起DURBAN重货可以申请WAX1航线带至新加坡中转上WAX5航线。",20'GP 18-23.9T +USD100 ≧24T+USD200,Capetown COSCO USD390/780 + EBS60/120 + AMS30/BILL，周二洋山直达27天，价格到7月31日已过期，紧供参考。,,,
71,71817,南,CAPETOWN,South Africa,"开普敦,南非",C,EMC,584,,1009,,1009,,AMS30,634,1059,1059,,,周四/周六,洋山,SIN/HK,新加坡/香港,34/36,7-25,7-31,"需另加AMS(USD30/BILL),小箱超重费：24TONS以上,+USD100",有超重费,Capetown EMC USD584/1009 + AMS30/BILL，周四/周六洋山新加坡/香港转34/36天，价格到7月31日已过期，紧供参考。,,,
72,71817,南,CAPETOWN,South Africa,"开普敦,南非",I,HBS,440,60,850,120,850,120,AMS30,465,900,900,60/120,,周二,洋山,DIR,直达,26,7-23,7-31,另加AMS USD35/BILL,,Capetown HBS USD440/850 + EBS60/120 + AMS30/BILL，周二洋山直达26天，价格到7月31日已过期，紧供参考。,,,
73,71817,南,CAPETOWN,South Africa,"开普敦,南非",M,CMA,588,55,1063,110,1063,110,AMS30,613,1113,1113,55/110,,周二,洋山,DIR,直达,26,7-01,7-31,ASAF 目的港5天免用箱,,Capetown CMA USD588/1063 + EBS55/110 + AMS30/BILL，周二洋山直达26天，价格到7月31日已过期，紧供参考。,,,
74,71817,南,CAPETOWN,South Africa,"开普敦,南非",B,MSC,650,,1300,,1300,,AMS30,675,1350,1350,,,周五,外港,MUPLO,路易港,32,7-15,7-31,,,Capetown MSC USD650/1300 + AMS30/BILL，周五外港路易港转32天，价格到7月31日已过期，紧供参考。,,,
75,71817,南,CAPETOWN,South Africa,"开普敦,南非",L,NDS,960,,1610,,1610,,AMS30,960,1610,1610,,,周一,洋山,DIR,直达,27,7-07,7-31,,,Capetown NDS USD960/1610 + AMS30/BILL，周一洋山直达27天，价格到7月31日已过期，紧供参考。,,,
76,71817,南,CAPETOWN,South Africa,"开普敦,南非",K,PIL,513,,1213,,1213,,AMS30,613,1413,1413,,,周六,外港,SIN,新加坡,30,7-25,7-31,另加AMS USD30/BILL,,Capetown PIL USD513/1213 + AMS30/BILL，周六外港新加坡转30天，价格到7月31日已过期，紧供参考。,,,
77,71817,南,CAPETOWN,South Africa,"开普敦,南非",H,ONE,490,,965,,965,,AMS30,515,1015,1015,,,周四,洋山,SIN,新加坡,32,7-16,7-31,AMS (USD35)/票,,Capetown ONE USD490/965 + AMS30/BILL，周四洋山新加坡转32天，价格到7月31日已过期，紧供参考。,,,
78,71817,南,PORT ELIZABETH,South Africa,"伊丽莎白港,南非",A,MSK,490,60,980,120,980,120,AMS30,515,1030,1030,60/120,,周三,洋山,DIR,直达,33,7-16,7-31,AC3,,Port Elizabeth MSK USD490/980 + EBS60/120 + AMS30/BILL，周三洋山直达33天，价格到7月31日已过期，紧供参考。,,,
79,71817,南,PORT ELIZABETH,South Africa,"伊丽莎白港,南非",E,COSCO,440,60,880,120,880,120,AMS30,440,880,880,60/120,,周六,洋山,DIR,直达,28,7-18,7-31,ZAX3,,Port Elizabeth COSCO USD440/880 + EBS60/120 + AMS30/BILL，周六洋山直达28天，价格到7月31日已过期，紧供参考。,,,
80,71817,南,PORT ELIZABETH,South Africa,"伊丽莎白港,南非",G,ZIM,460,75,910,150,910,150,AMS30,460,910,910,75/150,,周六,洋山,DIR,直达,24,7-27,7-31,OWS USD100/20GP(GS18TON),OWS $100 for weight over 18tons/20'(incl.tare,Port Elizabeth ZIM USD460/910 + EBS75/150 + AMS30/BILL，周六洋山直达24天，价格到7月31日已过期，紧供参考。,,,
